Wall time,Step,Value
1655240668.829178,0,2.0010008811950684
1655241151.040262,1,1.1490552425384521
1655241615.162887,2,0.8391034603118896
1655242078.858615,3,0.6545522809028625
1655242556.647649,4,0.518248438835144
1655243029.549133,5,0.4085977077484131
1655243493.526749,6,0.3438986837863922
1655243957.487887,7,0.31785163283348083
1655244421.90692,8,0.26677337288856506
1655244885.663406,9,0.22478871047496796
1655245349.276489,10,0.2072746306657791
1655245813.26359,11,0.1859923154115677
1655246277.110548,12,0.17115649580955505
1655246741.308283,13,0.14814822375774384
1655247205.019424,14,0.1441076546907425
1655247668.306335,15,0.13055148720741272
1655248131.702441,16,0.13656169176101685
1655248594.915935,17,0.1246550977230072
1655249058.471706,18,0.09313728660345078
1655249521.882146,19,0.1270635724067688
1655249985.310146,20,0.11286931484937668
1655250448.866129,21,0.09832317382097244
1655250913.156795,22,0.10140342265367508
1655251375.842447,23,0.09094764292240143
1655251839.826097,24,0.08444535732269287
